procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  40704 325044 1049616 6756836    0    0     5    27   28   29  2  1 97  0  0
 0  0  40704 316256 1049616 6753376    0    0     0    70 2714 5998  5  1 94  0  0
 4  0  40960 285052 1044636 6775532    0   17    13   332 2124 5525  6  1 93  0  0
 1  0  40960 199844 1044664 6766424    0    0  1789  5717 9198 16214 10  2 87  0  0
 3  0  47360 167972 1010988 6371604    0 1285  4482  1388 14556 15662 20  3 77  0  0
 6  0  82688 176008 876024 5196692    0 7085  1304  7258 16360 53306 26  6 67  0  0
 5  0 240384 1154864 831632 4373888    0 31532  4054 32894 53056 59354 21  7 72  0  0
 0  0 240384 1465076 831656 4389876    0    0   162   198 17236 36756 13  6 81  0  0
 3  0 240384 1753872 831708 4372812    0    0     4   167 11682 34687 10  4 86  0  0
 0  0 240384 2620704 832316 4376872    0    0   155   682 7051 18429  8  3 89  0  0
 2  0 240384 2593876 832568 4387320    0    0     0   619 3106 6583  4  2 94  0  0
 0  0 240384 2831332 832596 4412964    0    0     3  1447 4174 7965  7  2 92  0  0
 3  0 240384 2848140 832648 4402204    0    0   362   132 4589 6431  3  1 97  0  0
 1  0 240384 2865172 832660 4378200    0    0     0    97 5373 6797  4  1 95  0  0
 0  0 240384 2870248 832696 4369836    0    0     1   644 1747 3273  2  1 98  0  0
