procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 240384 2970808 835316 4367776    0    0     5    27   30   32  2  1 97  0  0
 0  0 240384 2946420 835484 4387612    0    0   176   643 2651 6571  5  1 94  0  0
 2  0 240384 2849020 835508 4460532    0    0   200   864 6466 11750 11  3 87  0  0
 0  0 240384 2896652 835516 4417300    0    0     1    96 1224 2725  2  1 98  0  0
 0  0 240384 2877088 835520 4418220    0    0     0    72 2253 5758  5  1 94  0  0
 2  0 240384 2856732 835524 4437988    0    0     0   417 2019 4165  3  1 97  0  0
 0  0 240384 2871160 835524 4418696    0    0     4    78 4198 8014  6  1 92  0  0
 2  0 240384 2887872 835524 4413204    0    0     0   386 1143 2202  1  0 98  0  0
 1  0 240384 2881380 835540 4421740    0    0     1   127 5120 7448  7  1 92  0  0
 0  0 240384 2892916 835548 4416396    0    0     0   359 4389 5199  3  1 96  0  0
 0  0 240384 2896948 835568 4419384    0    0     1   173 2222 5573  5  1 94  0  0
 0  0 240384 2901996 835568 4413908    0    0     0   507  814 1987  1  0 99  0  0
 0  0 240384 2909644 835568 4396288    0    0     0    51 2190 5263  4  1 95  0  0
 0  0 240384 2875344 835788 4428528    0    0     0   655 2888 5059  3  1 96  0  0
 1  0 240384 2895836 835796 4392224    0    0     1   331 3916 5969  4  1 95  0  0
 0  0 240384 2923008 835812 4371696    0    0     0   102 2228 2958  1  1 98  0  0
 0  0 240384 2937348 835812 4371936    0    0     0   162 3552 3241  1  1 98  0  0
 0  0 240384 2925488 835812 4369844    0    0     0   282 2434 4716  3  1 96  0  0
 0  0 240384 2924256 835816 4369524    0    0     0    63  776 1939  1  0 99  0  0
 0  0 240384 2928068 835836 4370364    0    0     0   236  860 2144  1  0 99  0  0
 0  0 240384 2931492 835840 4370204    0    0     0   214  962 2078  2  0 98  0  0
 1  0 240384 2927120 835844 4370204    0    0     0   177 1403 2456  1  1 99  0  0
 0  0 240384 2926148 835856 4370204    0    0     0    32  712 1766  1  0 99  0  0
 0  0 240384 2925168 835860 4370228    0    0     0   154  679 1705  1  0 99  0  0
 0  0 240384 2921640 835864 4370228    0    0     0    32  662 1748  1  0 99  0  0
 0  0 240384 2900804 836116 4385256    0    0     0   683  964 2947  1  0 98  0  0
 0  0 240384 2920724 836124 4369508    0    0     1    59  676 1771  1  0 99  0  0
 0  0 240384 2920220 836140 4369532    0    0     0   558  736 1936  1  0 99  0  0
 0  0 240384 2917700 836156 4369536    0    0     1    46  647 1740  1  0 99  0  0
