procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 4983584 894008 5823236    0    0     9    27   68   88  2  1 98  0  0
 0  0      0 4981404 894028 5834952    0    0     0   494 2393 5175  3  1 95  0  0
 1  0      0 4995100 894028 5826824    0    0     0   160  852 1941  1  0 99  0  0
 0  0      0 5008772 894040 5827900    0    0     0   162 1591 2920  2  0 97  0  0
 0  0      0 5011412 894040 5825832    0    0     0    51  774 1706  1  0 99  0  0
 0  0      0 5016288 894044 5825988    0    0     0   409 1069 2520  1  0 99  0  0
 0  0      0 5014152 894044 5826248    0    0     0    58 1009 2348  1  0 99  0  0
 0  0      0 5033012 894052 5823144    0    0     0   197  868 2009  1  0 98  0  0
 0  0      0 5031028 894092 5823216    0    0     0  3322 1915 3741  4  0 96  0  0
 0  0      0 5025564 894356 5823304    0    0     0   890 1141 3090  1  1 98  0  0
 0  0      0 5028196 894368 5824716    0    0     0    54 1563 3628  3  1 97  0  0
 1  0      0 5041564 894376 5822276    0    0     0    52 2162 5095  3  1 96  0  0
 0  0      0 5059028 894392 5808780    0    0     0   110  749 1762  1  0 99  0  0
 0  0      0 5060296 894396 5809064    0    0     0   537  981 2349  1  0 99  0  0
 0  0      0 5060400 894396 5809016    0    0     0     0 1132 2778  1  0 99  0  0
 1  0      0 5068308 894396 5808648    0    0     0   174 1146 2159  1  0 98  0  0
 0  0      0 5064784 894404 5810460    0    0     0    67 1336 2815  1  1 98  0  0
 1  0      0 5065908 894408 5820812    0    0     0   114 1180 2220  1  0 99  0  0
 1  0      0 5072944 894412 5809188    0    0     0    25  902 2045  1  0 99  0  0
 0  0      0 5071396 894416 5809244    0    0     0    36 1015 2604  1  0 99  0  0
 0  0      0 5071580 894424 5808932    0    0     0   102 1057 2312  1  0 99  0  0
 0  0      0 5058352 894796 5811072    0    0     0   904 1300 3582  1  0 98  0  0
 1  0      0 5040220 894812 5817352    0    0     0    78 3997 6526  3  2 95  0  0
 0  0      0 5028160 894812 5825296    0    0     0     0 1637 2597  1  0 98  0  0
